priority	title	author	category	reason	source_basis	local_status	note
P0	间客	猫腻	科幻/玄幻	中国网络文学20年20部作品榜首，猫腻代表作，文笔和思想性都强	中国网络文学20年20部作品；中国作家网《间客》专题	合集未命中	建议优先补完整本
P0	全职高手	蝴蝶蓝	游戏竞技	游戏竞技现象级作品，改编影响大，适合补足游戏题材	中国网络文学20年20部作品；中国作家网/维基资料	合集未命中	建议优先补完整本
P0	鬼吹灯	天下霸唱	悬疑/探险	盗墓探险类型代表作，IP影响极高	中国网络文学20年20部作品	合集未命中	建议优先补完整系列
P0	盗墓笔记	南派三叔	悬疑/探险	盗墓探险头部 IP，和鬼吹灯形成重要类型对照	公开 IP 影响力与改编传播	合集未命中	建议补完整系列
P0	三体	刘慈欣	科幻	中文科幻标杆，训练集中科幻叙事缺口明显	雨果奖/影视改编/公开影响力	合集未命中	建议补三部曲
P0	大江东去	阿耐	现实题材	网络文学作者首次获五个一工程奖，现实题材质量样本	中国网络文学20年20部作品；阿耐条目资料	合集未命中	建议优先补
P0	第一次的亲密接触	痞子蔡	青春/网络文学早期	早期中文网络文学代表作，风格与商业网文差异大	中国网络文学20年20部作品	合集未命中	适合做早期网络文学样本
P0	悟空传	今何在	幻想/新武侠	网络文学早期神话重写代表作，语言辨识度高	中国网络文学20年20部作品	合集未命中	建议补
P0	飘邈之旅	萧潜	修真	修真流派源头级作品	中国网络文学20年20部作品	合集未命中	建议补
P0	家园/隋乱	酒徒	历史	历史网文代表作，结构和人物较成熟	中国网络文学20年20部作品	合集未命中	同名家园需注意歧义
P0	明朝那些事儿	当年明月	历史通俗写作	通俗历史写作标杆，叙事语体与网文差异明显	中国网络文学20年20部作品	合集未命中	建议补全集
P0	神墓	辰东	玄幻	辰东早期代表作，玄幻类型演化关键样本	中国网络文学20年20部作品	合集未命中	建议补
P0	巫神纪	血红	玄幻	血红代表作之一，传统玄幻强类型样本	中国网络文学20年20部作品	合集未命中	建议补
P1	致我们终将逝去的青春	辛夷坞	青春/言情	青春文学代表作，补齐女频现实青春向	中国网络文学20年20部作品	合集未命中	建议补
P1	繁花	金宇澄	都市/文学	地域语言与文学性突出，能扩展高质量非典型网文样本	中国网络文学20年20部作品	合集未命中	本地命中均非该书
